player_id,player_name,batting_innings,bowling_innings,total_runs_scored,total_balls_faced,total_fours,total_sixes,total_catches,total_runouts,total_balls_bowled,total_dot_balls,total_wickets,total_LBWs/Bowled,total_runs_conceded,total_stumpings
807b63ae,RK Terblanche,1,5,0,3,0,0,2,1,63,19,4,1,118,0
93a751e8,RT Bailey,23,0,373,360,31,8,7,1,0,0,0,0,0,0
1b05424f,P Matshikwe,1,11,2,4,0,0,0,0,214,80,10,0,304,0
f856b613,R Cameron,3,2,9,16,1,0,3,0,37,12,3,2,44,0
7be25178,C Pietersen,2,2,7,12,0,0,0,0,40,15,2,1,45,0
1186f196,JJ Pienaar,4,1,32,40,3,0,3,0,12,1,0,0,31,0
77841dcc,J Symes,22,14,399,342,29,13,14,0,155,47,14,4,192,0
e6c67124,RCC Canning,8,0,164,124,13,5,2,0,0,0,0,0,0,1
3b94297b,TL Tsolekile,20,0,234,253,21,6,18,1,0,0,0,0,0,4
d83df855,S Burger,2,4,27,22,0,2,1,0,33,5,1,0,62,0
3bf936e7,E O'Reilly,1,7,7,7,0,0,0,0,149,73,8,6,178,0
4ad7fc1b,AP McLaren,10,0,95,116,7,2,1,3,0,0,0,0,0,0
f407e354,M van Jaarsveld,23,1,492,611,57,11,11,1,32,19,1,0,20,0
ad9d8382,CJD de Villiers,2,5,20,15,2,1,1,0,83,26,4,0,137,0
fa9c0196,RR Richards,0,6,0,0,0,0,0,0,112,29,3,1,179,0
eb6d2ef1,AZM Dyili,3,0,40,38,4,1,2,1,0,0,0,0,0,3
994d9d36,ER Links,3,16,4,7,0,0,6,3,277,102,8,3,322,0
ffa15667,Q Friend,2,9,26,18,1,2,2,0,186,82,6,1,182,0
800b52dc,NE Mbhalati,3,27,9,13,1,0,2,0,513,200,22,6,686,0
bd8139a1,SK Dolawatte,6,10,34,110,1,0,0,3,151,70,7,3,117,0
7bf606c6,JB Nero,15,0,180,268,20,1,8,2,0,0,0,0,0,0
d4f0c300,Sumaiya Siddiqi,6,20,41,44,6,1,1,1,508,301,17,6,351,0
b4bbe95c,N Niranjana,12,21,87,174,11,0,5,3,807,513,29,16,556,0
dae6fac5,S Sharma,6,9,16,38,1,0,1,1,313,217,12,8,192,0
8479657a,A Das,7,12,8,25,0,0,1,2,332,167,16,2,275,0
3308d881,SL Quintyne,20,28,208,315,21,1,5,3,697,310,33,10,577,0
57a45277,RK Parwin,0,3,0,0,0,0,0,0,94,52,4,0,72,0
f5c198fb,SP Patil,45,0,855,1284,69,7,26,7,0,0,0,0,0,8
96f5a23a,E Steenkamp,2,0,3,17,0,0,2,0,0,0,0,0,0,0
a91392b4,Zeeshan Siddiqi,2,0,14,34,2,0,0,0,0,0,0,0,0,0
d146924b,Raza-ur-Rehman,13,11,244,295,30,1,8,1,209,89,3,2,220,0
